"","name","ticker","date"
"834","Goodtech ASA","GOD","2020-03-19T17:02:52.173+01:00"
"835","Medistim ASA","MEDI","2020-03-19T08:00:00+01:00"
"836","Sandnes Sparebank","SADG","2020-03-18T12:49:13.017+01:00"
"837","Totens Sparebank","TOTG","2020-03-17T16:34:22.84+01:00"
"838","SpareBank 1 Ringerike Hadeland","RING","2020-03-16T19:00:00+01:00"
"839","Bulk Industrier AS","BUIN","2020-03-16T09:00:00+01:00"
"840","Clemens Kraftverk AS","CLKR","2020-03-12T16:20:38.14+01:00"
"841","Clemens Kraftverk AS","CLKR","2020-03-12T16:20:37.953+01:00"
"842","Olympic Subsea ASA","OLSU","2020-03-12T15:30:00+01:00"
"843","Olympic Subsea ASA","OLSU","2020-03-12T15:30:00+01:00"
"844","Glitre Energi AS","GLITRE","2020-03-12T12:11:17.21+01:00"
"845","Akershus Energi AS","NYSK","2020-03-12T08:00:00+01:00"
"846","Targovax ASA","TRVX","2020-03-11T07:00:17.027+01:00"
"847","NEL ASA","NEL","2020-03-05T07:00:18.66+01:00"
"848","Jæren Sparebank","JAEREN","2020-03-04T18:03:25.293+01:00"
"849","Targovax ASA","TRVX","2020-03-03T07:00:09.517+01:00"
"850","Shelf Drilling, Ltd.","SHLF","2020-03-02T07:22:44.413+01:00"
"851","Orkla ASA","ORK","2020-09-24T21:00:14.921+02:00"
"852","Orkla ASA","ORK","2020-09-24T21:00:14.89+02:00"
"853","ayfie Group AS","AYFIE-ME","2020-09-24T06:00:00Z"
"854","5th Planet Games A/S","FIVEPG","2020-09-18T07:44:03.646+02:00"
"855","Cloudberry Clean Energy AS","CLOUD-ME","2020-09-16T05:00:00Z"
"856","Mercell Holding AS","MRCEL-ME","2020-09-15T05:00:00Z"
"857","Bluewater Holding B.V.","BLH","2020-09-14T15:26:59.073+02:00"
"858","Care Bidco AS","CARE","2020-09-14T09:35:54.612+02:00"
"859","Care Bidco AS","CARE","2020-09-10T20:03:16.412+02:00"
"860","Sikri Holding AS","SIKRI-ME","2020-09-10T05:30:00Z"
"861","Clemens Kraftverk AS","CLKR","2020-09-09T09:57:11.372+02:00"
"862","Clemens Kraftverk AS","CLKR","2020-09-09T09:57:11.308+02:00"
"863","Clemens Kraftverk AS","CLKR","2020-09-09T09:55:15.192+02:00"
"864","Clemens Kraftverk AS","CLKR","2020-09-09T09:54:35.71+02:00"
"865","Clemens Kraftverk AS","CLKR","2020-09-09T09:54:35.598+02:00"
"866","Eagle Bulk Shipco LLC","EBS","2020-09-02T14:23:52.52+02:00"
"867","Andfjord Salmon AS","ANDF-ME","2020-09-02T08:00:38.151+02:00"
"868","Andfjord Salmon AS","ANDF-ME","2020-09-02T08:00:38.028+02:00"
"869","Lifecare AS","LIFE-ME","2020-09-01T13:30:00Z"
"870","Lifecare AS","LIFE-ME","2020-09-01T13:30:00Z"
"871","Østfold Energi AS","OSEN","2020-09-01T08:55:11.351+02:00"
"872","Holmetjern Invest AS","HOLMIN","2020-08-31T20:37:00Z"
"873","Ice Fish Farm AS","IFISH-ME","2020-08-31T19:00:00Z"
"874","Ice Fish Farm AS","IFISH-ME","2020-08-31T19:00:00Z"
"875","NTS ASA","NTS","2020-08-31T19:00:00Z"
"876","Atlantic Petroleum P/F","ATLA NOK","2020-08-31T19:42:20.633+02:00"
"877","Sunnhordland Kraftlag AS","SKL","2020-08-31T18:53:48.619+02:00"
"878","CentralNic Group Plc","CNIC","2020-08-31T18:50:26.675+02:00"
"879","Ørland Sparebank","ORLSB","2020-08-31T18:18:15.26+02:00"
"880","Solstad Offshore ASA","SOFF","2020-08-31T17:16:19.448+02:00"
"881","Siem Industries Inc.","SIEIN","2020-08-31T15:56:33.026+02:00"
"882","Steen & Strøm AS","SST","2020-08-31T15:54:36.973+02:00"
"883","Sand Hill Petroleum BV","SAHI","2020-08-31T15:07:35.889+02:00"
"884","Thon Holding AS","THOL","2020-08-31T11:00:00Z"
"885","Vegamot AS","TRBO","2020-08-31T09:57:33.872+02:00"
"886","GLX Holding","GLX","2020-08-31T08:50:03.674+02:00"
"887","MPC Container Ships ASA","MPCC","2020-08-31T08:00:18.145+02:00"
"888","MPC Container Ships Invest B.V.","MPCBV","2020-08-31T08:00:18.02+02:00"
"889","A/S Eidefoss","EIDEF","2020-08-31T07:54:12.59+02:00"
"890","North Energy ASA","NORTH","2020-08-31T07:30:06.245+02:00"
"891","Element ASA","ELE","2020-08-31T05:30:00Z"
"892","PetroNor E&P Limited","PNOR","2020-08-31T05:00:00Z"
"893","Fossberg Kraft Produksjon AS","FOKR","2020-08-29T12:28:50.683+02:00"
"894","Interoil Exploration and Prod. ASA","IOX","2020-08-28T21:48:47.708+02:00"
