"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1970",2019-11-04,"15-åring døde etter voldshendelse",228382,182236,0,49,5374138,29,"15-åring død etter voldshendelse på Kapp;Norge","https://www.nrk.no/innlandet/15-aring-dode-etter-voldshendelse-1.14768401",315
"1971",2019-11-04,"Speilglatte veier og flere titalls utforkjøringer i nord – nå stenges veien for tungtransport",72277,46083,0,43,1669544,37,"Nordland;Samferdsel;Trafikken i Nordland","https://www.nrk.no/nordland/speilglatte-veier-og-flere-titalls-utforkjoringer-i-nord-_-na-stenges-veien-for-tungtransport-1.14768979",483
"1972",2019-11-04,"Askøy kommune tvinger grunneier til å avstå vei for å sikre innbyggerne rent vann",109689,67335,0,85,5647165,53,"Forurenset drikkevann og sykdomsutbrudd på Askøy;Politikk;Norge","https://www.nrk.no/vestland/askoy-kommune-tvinger-grunneier-til-a-avsta-vei-for-a-sikre-innbyggerne-rent-vann-1.14766659",706
"1973",2019-11-04,"Ordføraren spanderte pizza på heile byen",2884,1914,0,40,73839,24,"Avfallsdeponi Brevik;Klima og miljø","https://www.nrk.no/vestfoldogtelemark/ordforaren-spanderte-pizza-pa-heile-byen-1.14768920",378
"1974",2019-11-04,"Hege Ulstein trekker seg fra metoo-debatt under Svarte Natta-konferansen",39254,23271,0,42,968915,31,"Troms","https://www.nrk.no/tromsogfinnmark/hege-ulstein-trekker-seg-fra-metoo-debatt-under-svarte-natta-konferansen-1.14768971",469
"1975",2019-11-04,"EU-kjenner mener trygdeskandalen kan skyldes politisk press fra Norge",81677,50044,0,75,3521609,64,"Norge;Trygdeskandalen","https://www.nrk.no/norge/eu-kjenner-mener-trygdeskandalen-kan-skyldes-politisk-press-fra-norge-1.14765756",916
"1976",2019-11-04,"Dette får du ikke vite i skattelistene",122411,70366,0,50,3705910,48,"Skatt og avgifter;Norge","https://www.nrk.no/norge/dette-far-du-ikke-vite-i-skattelistene-1.14768787",810
"1977",2019-12-04,"Nye tall: CO2-utslippene vokser saktere",413,226,0,31,8792,9,"Klima og miljø;Urix","https://www.nrk.no/urix/nye-tall_-co_-utslippene-vokser-saktere-1.14807535",139
"1978",2019-12-04,"Elon Musk forsvarer «pedo»-uttalelse",5245,4165,0,56,201219,18,"Fanget i grotte i Thailand;USA;Urix","https://www.nrk.no/norge/elon-musk-forsvarer-_pedo_-uttalelse-1.14807553",340
"1979",2019-12-04,"Morgenandakten onsdag 4. desember",200,85,0,47,7177,35,"Andakter 2019","https://www.nrk.no/andakten/morgenandakten-onsdag-4.-desember-1.14799289",478
"1980",2019-12-04,"Dette skjedde natt til 4. desember",281,262,0,42,3850,16,"Dette skjedde i natt","https://www.nrk.no/nyheter/dette-skjedde-natt-til-4.-desember-1.14807530",266
"1981",2019-12-04,"Vil kartlegge sjøbotn etter statleg oppdrettstabbe i Nordfjord",2877,1603,0,43,86916,29,"Norge;Oppdrett i Norge;Klima og miljø;Politikk","https://www.nrk.no/vestland/vil-kartlegge-sjobotn-etter-statleg-oppdrettstabbe-i-nordfjord-1.14806914",420
"1982",2019-12-04,"Avslørte alvorlege avvik i 7 av 10 sprengstofflager – bransjen ber om fleire kontrollar",43399,26399,0,66,1734523,76,"Norge;Politikk og samfunn","https://www.nrk.no/vestland/avslorte-alvorlege-avvik-i-7-av-10-sprengstofflager-_-bransjen-ber-om-fleire-kontrollar-1.14796348",981
"1983",2019-12-04,"Krever varig vern av 7000 år gamle koraller: – Trænarevet fortsatt truet av oljeinteresser",12338,5916,0,44,376289,33,"Nordland;Norge;Olje og gass;Olje og gass i nordområdene (Nordland,Troms og Finnmark)","https://www.nrk.no/nordland/krever-varig-vern-av-7000-ar-gamle-koraller_-_-traenarevet-fortsatt-truet-av-oljeinteresser-1.14806497",458
"1984",2019-12-04,"UNICEF: Historisk høyt antall barn er tvunget på flukt",407,202,0,35,9068,21,"Klima og miljø;Bistand;Urix","https://www.nrk.no/urix/unicef_-historisk-hoyt-antall-barn-er-tvunget-pa-flukt-1.14807602",341
"1985",2019-12-04,"«Ingen» ser Norge i VM: – Har gjort en dårlig jobb",85798,53746,0,52,2768994,41,"Håndballandslaget, kvinner;Håndball","https://www.nrk.no/sport/_ingen_-ser-norge-i-vm_-_-har-gjort-en-darlig-jobb-1.14806266",591
"1986",2019-12-04,"Eksplosiv økning i bruk av veisalt i Oslo",65533,39082,0,75,2921396,50,"Været i Oslo og Akershus;Siste saker om været i Norge;NRK Østlandssendingen","https://www.nrk.no/osloogviken/eksplosiv-okning-i-bruk-av-veisalt-i-oslo-1.14799800",568
